Country_Code,Year,WB_Pubs
MNA,2000,8488.59
MNA,1999,7371.66
MNA,1998,6866.27
MNA,1997,6286.88964081218
MNA,1996,5639.41220651442
TMN,2022,151727.19
TMN,2021,140153.05
TMN,2020,123260.8
TMN,2019,114658.22
TMN,2018,98485.4
TMN,2017,89089.67
TMN,2016,80805.63
TMN,2015,70282.75
TMN,2014,66422.87
TMN,2013,61764.72
TMN,2012,58991.49
TMN,2011,55828.6
TMN,2010,47422.98
TMN,2009,41014.47
TMN,2008,34204.02
TMN,2007,27758.22
TMN,2006,23100.22
TMN,2005,18449.03
TMN,2004,15233.75
TMN,2003,13010.81
TMN,2002,10792.48
TMN,2001,9563.64
TMN,2000,8420.91
TMN,1999,7303.67
TMN,1998,6820.67
TMN,1997,6240.63783984605
TMN,1996,5604.60326450511
MIC,2022,1600248.53
MIC,2021,1436834.7
MIC,2020,1256000.13
MIC,2019,1155111.08
MIC,2018,1013620.87
MIC,2017,899796.6
MIC,2016,835578.32
MIC,2015,769444.15
MIC,2014,728335.13
MIC,2013,675429.88
MIC,2012,632856.72
MIC,2011,606204.104300958
MIC,2010,561046.712987404
MIC,2009,511665.276584077
MIC,2008,448590.490319986
MIC,2007,390293.83953179
MIC,2006,353385.862510437
MIC,2005,303746.120521121
MIC,2004,242675.750621793
MIC,2003,197337.327268692
MIC,2002,174007.417741145
MIC,2001,159928.785032274
MIC,2000,134965.932500529
MIC,1999,122257.302496313
MIC,1998,117079.281638954
MIC,1997,107397.90863488
MIC,1996,98525.6550846371
NAC,2022,526483.460852057
NAC,2021,542231.832635947
NAC,2020,523014.156006312
NAC,2019,516121.284684455
NAC,2018,510906.360408993
NAC,2017,502111.531049123
NAC,2016,498961.4646206
NAC,2015,498391.200268312
NAC,2014,495361.935945284
NAC,2013,492197.956970914
NAC,2012,490015.167543754
NAC,2011,484636.043221436
NAC,2010,470584.091864371
NAC,2009,459968.389304147
NAC,2008,453135.939038699
NAC,2007,448367.646492074
NAC,2006,444927.456974123
NAC,2005,438327.739296253
NAC,2004,403035.851257555
NAC,2003,375281.382486105
NAC,2002,357469.773151772
NAC,2001,340449.628647052
NAC,2000,340787.430461177
NAC,1999,329494.72401647
NAC,1998,335779.444053135
NAC,1997,345475.068248842
NAC,1996,348285.092453269
OED,2022,1608166.35
OED,2021,1654242.66
OED,2020,1564618.56
OED,2019,1530685.75
OED,2018,1492089.44
OED,2017,1468917.87
OED,2016,1462075.56
OED,2015,1450629.76
OED,2014,1438124.44
OED,2013,1415754.18
OED,2012,1393567.19
OED,2011,1358890.02
OED,2010,1312450.9
OED,2009,1279782.73
OED,2008,1244132.33
OED,2007,1213419.55
OED,2006,1185746.41
OED,2005,1140834.89
OED,2004,1042935.21
OED,2003,977722.87
OED,2002,930636.92
OED,2001,894938.55
OED,2000,884778.95
OED,1999,849274.34
OED,1998,851735.8
OED,1997,856824.37
OED,1996,836075.28
OSS,2022,6306.54
OSS,2021,5998.81
OSS,2020,5491.07
OSS,2019,5062.76
OSS,2018,4798.71
OSS,2017,4677.75
OSS,2016,4415.01
OSS,2015,4052.85
OSS,2014,4087.56
OSS,2013,3836.84
OSS,2012,3654.08
OSS,2011,3254.95320158968
OSS,2010,3214.93750708898
OSS,2009,2723.31855158413
OSS,2008,2482.02387102832
OSS,2007,2213.48640397463
OSS,2006,1945.41373159181
OSS,2005,1678.9267396986
OSS,2004,1432.36372019105
OSS,2003,1238.52972527626
OSS,2002,1222.24644340341
OSS,2001,1074.09848432465
OSS,2000,1029.53367309184
OSS,1999,1022.3610895953
OSS,1998,983.952729406179
OSS,1997,895.3924496052
OSS,1996,862.787757344285
PSS,2022,275.163346837119
PSS,2021,280.404553443541
PSS,2020,262.351508465867
PSS,2019,213.221262973384
PSS,2018,219.284379353291
PSS,2017,195.633214631671
PSS,2016,217.26
PSS,2015,157.44
PSS,2014,158.38
PSS,2013,113.4
PSS,2012,89.79
PSS,2011,98.9258163380282
PSS,2010,117.459115400532
PSS,2009,92.5035006616044
PSS,2008,93.1342988403351
PSS,2007,118.997024168294
PSS,2006,126.881526357476
PSS,2005,104.60831836303
PSS,2004,90.0120437362844
PSS,2003,70.358056311913
PSS,2002,59.0109975953398
PSS,2001,61.8425187168506
PSS,2000,55.5604310536901
PSS,1999,55.1729503256907
PSS,1998,46.4761606528156
PSS,1997,45.2629275434047
PSS,1996,31.439096966619
PST,2022,1494927.61519073
PST,2021,1541942.28311894
PST,2020,1464700.00995938
PST,2019,1437452.86084633
PST,2018,1405071.86068381
PST,2017,1384536.30539877
PST,2016,1375065.86002649
PST,2015,1370020.28416845
PST,2014,1361848.72503947
PST,2013,1345485.6934938
PST,2012,1327275.44011075
PST,2011,1297098.8721221
PST,2010,1253085.15780358
PST,2009,1224194.50270741
PST,2008,1191237.03452159
PST,2007,1164528.57156932
PST,2006,1139308.29699954
PST,2005,1101237.50547307
PST,2004,1007239.90799277
PST,2003,946952.142393428
PST,2002,903514.614068842
PST,2001,872891.774899031
PST,2000,865082.855171831
PST,1999,831000.613586063
PST,1998,835281.376166961
PST,1997,840833.134301395
PST,1996,819991.931447552
PRE,2022,33284.33
PRE,2021,30716.42
PRE,2020,24021.34
PRE,2019,20525.39
PRE,2018,15632.92
PRE,2017,12534.75
PRE,2016,10662.03
PRE,2015,9456.72
PRE,2014,9071.45
PRE,2013,8170.82
PRE,2012,7925.29
PRE,2011,7926.4
PRE,2010,7202.7821067588
PRE,2009,6405.01905970891
PRE,2008,5469.09777583731
PRE,2007,5188.89956072298
PRE,2006,4674.49581759281
PRE,2005,4186.08489610325
PRE,2004,3622.53691128767
PRE,2003,3356.08932917805
PRE,2002,3069.15530938911
PRE,2001,2802.36628919084
PRE,2000,2633.67979335395
PRE,1999,2639.89184580787
PRE,1998,2576.01791936638
PRE,1997,2598.28471860242
PRE,1996,2459.58642446305
SST,2022,7110.65871213032
